INDEX,SOURCE,SOURCE_codes,NOM DU LIEU,ADRESSE,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district
pingcarto1_,CGET,CGET,La Chapelle Coworking,134 Rue Paul Bellamy 44000 Nantes,47.228354,-1.561639,134 Rue Paul Bellamy 44000 Nantes,0.96,housenumber,44109_6200_00134,134,Rue Paul Bellamy,,44000,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
pingcarto2_,CGET,CGET,Dot Parade,3 Rue Mercœur 44000 Nantes,47.217239,-1.560024,3 Rue Mercoeur 44000 Nantes,0.96,housenumber,44109_5592_00003,3,Rue Mercoeur,,44000,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
pingcarto3_,CGET,CGET,Espace Esperluette,2 Place Dumoustier 44000 Nantes,47.218265,-1.552225,2 Place Dumoustier 44000 Nantes,0.96,housenumber,44109_2632_00002,2,Place Dumoustier,,44000,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
pingcarto4_,CGET,CGET,La Prairie,22 Rue des Olivettes 44000 Nantes,47.210831,-1.549439,22 Rue des Olivettes 44000 Nantes,0.96,housenumber,44109_6012_00022,22,Rue des Olivettes,,44000,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
pingcarto5_,CGET,CGET,La Corderie,2 bis Rue Urvoy de Saint-Bedan 44000 Nantes,47.213182,-1.566044,2 bis Rue Urvoy de Saint Bedan 44000 Nantes,0.96,housenumber,44109_8276_00002_bis,2 bis,Rue Urvoy de Saint Bedan,,44000,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
pingcarto6_,CGET,CGET,DOJO Nantes,26 Boulevard Stalingrad 44000 Nantes,47.217905,-1.542937,26 Boulevard de Stalingrad 44000 Nantes,0.89,housenumber,44109_7964_00026,26,Boulevard de Stalingrad,,44000,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
pingcarto7_,CGET,CGET,Le 144,144 Rue Paul Bellamy 44000 Nantes,47.229071,-1.562215,144 Rue Paul Bellamy 44000 Nantes,0.96,housenumber,44109_6200_00144,144,Rue Paul Bellamy,,44000,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
pingcarto8_,CGET,CGET,La petite Serre,23 Rue Gambetta 44000 Nantes,47.220417,-1.546169,23 Rue Gambetta 44000 Nantes,0.96,housenumber,44109_3448_00023,23,Rue Gambetta,,44000,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
pingcarto9_,CGET,CGET,Vacouva,43 Quai de Malakoff 44000 Nantes,47.214658,-1.541114,43 Quai Malakoff 44000 Nantes,0.88,housenumber,44109_5252_00043,43,Quai Malakoff,,44000,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
pingcarto10_,CGET,CGET,Work'in salorges,16 Quai Ernest Renaud 44100 Nantes,47.205689,-1.574332,16 Quai Ernest Renaud 44100 Nantes,0.96,housenumber,44109_2890_00016,16,Quai Ernest Renaud,,44100,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
pingcarto11_,CGET,CGET,Labo Arts & Techs / Stereolux,4 boulevard Léon Bureau 44000 Nantes,47.206299,-1.564215,4 Boulevard Léon Bureau 44200 Nantes,0.87,housenumber,44109_4904_00004,4,Boulevard Léon Bureau,,44200,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
pingcarto12_,CGET,CGET,ADE Nantes,9 Rue du Petit Châtelier 44300 Nantes,47.246131,-1.505387,9 Rue du Petit Chatelier 44300 Nantes,0.96,housenumber,44109_6429_00009,9,Rue du Petit Chatelier,,44300,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
pingcarto13_,PiNG – CGET – CAP Tiers-Lieux,PiNG-CGET-CAPTL,La Cantine numérique,11 Rue la noue bras de fer 44200 Nantes,47.207157,-1.558662,11 Rue la Noue Bras de Fer 44200 Nantes,0.96,housenumber,44109_3183_00011,11,Rue la Noue Bras de Fer,,44200,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
pingcarto14_,CGET,CGET,La Cordée Nantes,32bis rue Fouré 44000 Nantes  ,47.212009,-1.546843,32 bis Rue Fouré 44000 Nantes,0.87,housenumber,44109_3252_00032_bis,32 bis,Rue Fouré,,44000,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
pingcarto15_,CGET,CGET,L’Atelier 9,9 Rue des Olivettes 44000 Nantes,47.212336,-1.550133,9 Rue des Olivettes 44000 Nantes,0.96,housenumber,44109_6012_00009,9,Rue des Olivettes,,44000,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
pingcarto16_,CAP Tiers-Lieux,CAPTL,La Conciergerie Coworking,20 Mail des Chantiers 44000 Nantes,47.204824,-1.567963,20 Mail des Chantiers 44200 Nantes,0.86,housenumber,44109_1631_00020,20,Mail des Chantiers,,44200,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
pingcarto17_,CAP Tiers-Lieux,CAPTL,La Conciergerie du Parc,24 Mail des Chantiers 44000 Nantes,47.204778,-1.5682,24 Mail des Chantiers 44200 Nantes,0.86,housenumber,44109_1631_00024,24,Mail des Chantiers,,44200,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
pingcarto18_,CAP Tiers-Lieux,CAPTL,La Conciergerie du Front Pop',1 Mail du Front Populaire 44000 Nantes,47.206491,-1.563783,1 Mail du Front Populaire 44200 Nantes,0.87,housenumber,44109_3391_00001,1,Mail du Front Populaire,,44200,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
pingcarto19_,CAP Tiers-Lieux – CGET,CAPTL-CGET,Le Solilab,8 rue Saint Domingue 44200 NANTES,47.201392,-1.571388,8 Rue de Saint Domingue 44200 Nantes,0.89,housenumber,44109_7564_00008,8,Rue de Saint Domingue,,44200,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
pingcarto20_,CAP Tiers-Lieux,CAPTL,ORA,7 rue Magdeleine 44200 Nantes,47.204311,-1.568063,7 Rue Magdeleine 44200 Nantes,0.96,housenumber,44109_5202_00007,7,Rue Magdeleine,,44200,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
pingcarto21_,PiNG – CAP Tiers-Lieux – CGET,PiNG-CAPTL-CGET,Plateforme C,Quai des Antilles hangar 30 44200 Nantes,47.203751,-1.570802,Quai des Antilles 44200 Nantes,0.73,street,44109_0341,,Quai des Antilles,,44200,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
pingcarto22_,PiNG – CAP Tiers-Lieux – CGET,PiNG-CAPTL-CGET,Atelier Partagé du Breil,38 rue du Breil 44100 Nantes,47.229028,-1.584999,38 Rue du Breil 44100 Nantes,0.96,housenumber,44109_1213_00038,38,Rue du Breil,,44100,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
pingcarto23_,CAP Tiers-Lieux,CAPTL,Le Grand Bain,23 Allée Baco 44000 Nantes,47.215234,-1.546799,Allée Baco 44000 Nantes,0.86,street,44109_0512,,Allée Baco,,44000,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
pingcarto24_,CAP Tiers-Lieux,CAPTL,La Galerie zéro déchet,5 Rue Fénelon 44000 Nantes,47.217125,-1.553941,5 Rue Fénelon 44000 Nantes,0.96,housenumber,44109_3096_00005,5,Rue Fénelon,,44000,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
pingcarto25_,PiNG – CAP Tiers-Lieux,PiNG-CAPTL,Mediagraph,1 rue d’Auvours 44000 Nantes,47.221374,-1.563522,1 Rue d'Auvours 44000 Nantes,0.96,housenumber,44109_0480_00001,1,Rue d'Auvours,,44000,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
pingcarto26_,CAP Tiers-Lieux,CAPTL,La Station,15 quai Ernest Renaud 44100 Nantes,47.206443,-1.573541,15 Quai Ernest Renaud 44100 Nantes,0.96,housenumber,44109_2890_00015,15,Quai Ernest Renaud,,44100,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
